File name,Platform,Protocol
LV7009026111-LV7005224361-CGG3-017591_S72_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026111-LV7005224361-CGG3-017591_S72_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026112-LV7000631907-Control_S64_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026113-LV7000631909-CGG3-017484_S56_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026434-LV7001308202-CGG3-017423_S48_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026443-LV7005225609-CGG3-017586_S73_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026444-LV7000631906-CGG3-017449_S65_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026445-LV7000631917-CGG3-017485_S57_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026446-LV7001308234-CGG3-017427_S49_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L002_R1_001.fastq.gz,NovaSeq6,Double
