,BulkSampleID,ArchiveSampleID,Robot Sample ID,Library ID,FastQ File ID,DepthSampledCalTape
0,ISL22-18,LV3005272613,LV7005365952,LV7008955290,LV7008955290-LV7005365952-LV3005272613,116.5
1,ISL22-18,LV3005272654,LV7005365960,LV7008955302,LV7008955302-LV7005365960-LV3005272654,122
2,ISL21_12_1,LV3005272493,LV6000198586,LV7008955346,LV7008955346-LV6000198586-LV3005272493,100
3,ISL21_11,LV3005273615,LV6000197537,LV7008955322,LV7008955322-LV6000197537-LV3005273615,106
4,ISL21_14B,LV3005272365,LV6000198585,LV7008955262,LV7008955262-LV6000198585-LV3005272365,110.5
5,ISL22-20.3B,LV3005273006,LV6000198906,,,380.5
6,ISL22-20.3B,LV3005273006,LV6000198906,LV7008961027,LV7008961027-LV6000198906-LV3005273006,380.5
7,ISL22-20.3B,LV3005273024,LV6000198914,,,384
8,ISL22-20.3B,LV3005273024,LV6000198914,LV7008961039,LV7008961039-LV6000198914-LV3005273024,384
9,ISL22-20.3B,LV3005273032,LV6000198875,,,387
10,ISL22-20.3B,LV3005273032,LV6000198875,LV7008961051,LV7008961051-LV6000198875-LV3005273032,387
11,ISL22-20.3B,LV3005273005,LV6000198883,,,390.5
12,ISL22-20.3B,LV3005273005,LV6000198883,LV7008961063,LV7008961063-LV6000198883-LV3005273005,390.5
13,ISL22-20.3B,LV3005273031,LV6000198891,,,393.5
14,ISL22-20.3B,LV3005273031,LV6000198891,LV7008961075,LV7008961075-LV6000198891-LV3005273031,393.5
15,ISL22-20.3B,LV3005273014,LV6000198899,,,396.5
16,ISL22-20.3B,LV3005273014,LV6000198899,LV7008961087,LV7008961087-LV6000198899-LV3005273014,396.5
17,ISL22-20.3B,LV3005273019,LV6000198907,,,399.5
18,ISL22-20.3B,LV3005273019,LV6000198907,LV7008961002,LV7008961002-LV6000198907-LV3005273019,399.5
19,ISL22-20.6,LV3005273002,LV6000198915,,,402
20,ISL22-20.6,LV3005273002,LV6000198915,LV7008961014,LV7008961014-LV6000198915-LV3005273002,402
