,Museum ID/sample ID,CGG ID,Library ID,FastQ File ID,Depth,height (m) asl.,Age,Geological age,Lat,Lon,GPS
0,ISL2020_05_15,CGG_3_012701,Lib220127017,,15,91.85,Viking Age?,Late Holocene,"63°26'50.2""N ","19°10'13.0""W",92 m
1,ISL2020_05_15,CGG_3_012701,Lib220127049,,15,91.85,Viking Age?,Late Holocene,"63°26'50.2""N ","19°10'13.0""W",92 m
2,ISL2020_05_15,CGG_3_012701,Lib220127081,,15,91.85,Viking Age?,Late Holocene,"63°26'50.2""N ","19°10'13.0""W",92 m
3,T3B20,CGG_3_016617,LV7008956188,LV7008956188-LV7005368139-CGG3016617,107.5,-0.575,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
4,T3B20,CGG_3_016617,LV7008956056,LV7008956056-LV7005368139-CGG3016617,107.5,-0.575,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
5,T3B26.5,CGG_3_016621,LV7008956067,LV7008956067-LV7005368155-CGG3016621,114,-0.64,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
6,T3B26.5,CGG_3_016621,LV7008955923,LV7008955923-LV7005368155-CGG3016621,114,-0.64,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
7,T3B32,CGG_3_016625,LV7008956079,LV7008956079-LV7005368140-CGG3016625,119.5,-0.695,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
8,T3B32,CGG_3_016625,LV7008955935,LV7008955935-LV7005368140-CGG3016625,119.5,-0.695,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
9,T3B36.25,CGG_3_016628,LV7008956103,LV7008956103-LV7005368156-CGG3016628,123.75,-0.7375,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
10,T3B36.25,CGG_3_016628,LV7008955959,LV7008955959-LV7005368156-CGG3016628,123.75,-0.7375,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
11,T3B40.5,CGG_3_016631,LV7008956115,LV7008956115-LV7005368164-CGG3016631,128,-0.78,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
12,T3B40.5,CGG_3_016631,LV7008955995,LV7008955995-LV7005368164-CGG3016631,128,-0.78,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
13,T3B46.5,CGG_3_016635,LV7008956127,LV7008956127-LV7005368163-CGG3016635,134,-0.84,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
14,T3B46.5,CGG_3_016635,LV7008956007,LV7008956007-LV7005368163-CGG3016635,134,-0.84,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
15,T3B49.5,CGG_3_016637,LV7008956139,LV7008956139-LV7005227640-CGG3016637,137,-0.87,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
16,T3B49.5,CGG_3_016637,LV7008956031,LV7008956031-LV7005227640-CGG3016637,137,-0.87,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
17,T3B52.25,CGG_3_016639,LV7008956066,LV7008956066-LV7005368245-CGG3016639,139.75,-0.8975,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
18,T3B52.25,CGG_3_016639,LV7008955922,LV7008955922-LV7005368245-CGG3016639,139.75,-0.8975,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
19,T3B55,CGG_3_016641,LV7008956078,LV7008956078-LV7005365078-CGG3016641,142.5,-0.925,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
20,T3B55,CGG_3_016641,LV7008955934,LV7008955934-LV7005365078-CGG3016641,142.5,-0.925,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
21,T3B58,CGG_3_016643,LV7008956102,LV7008956102-LV7005368229-CGG3016643,145.5,-0.955,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
22,T3B58,CGG_3_016643,LV7008955958,LV7008955958-LV7005368229-CGG3016643,145.5,-0.955,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
23,T3B61,CGG_3_016645,LV7008956114,LV7008956114-LV7005368221-CGG3016645,148.5,-0.985,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
24,T3B61,CGG_3_016645,LV7008955994,LV7008955994-LV7005368221-CGG3016645,148.5,-0.985,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
25,T3B63.5,CGG_3_016647,LV7008956126,LV7008956126-LV7005368213-CGG3016647,151,-1.01,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
26,T3B63.5,CGG_3_016647,LV7008956006,LV7008956006-LV7005368213-CGG3016647,151,-1.01,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
27,T3B66.5,CGG_3_016649,LV7008956138,LV7008956138-LV7005368205-CGG3016649,154,-1.04,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
28,T3B66.5,CGG_3_016649,LV7008956030,LV7008956030-LV7005368205-CGG3016649,154,-1.04,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
29,T3B69.5,CGG_3_016651,LV7008956174,LV7008956174-LV7005368246-CGG3016651,157,-1.07,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
30,T3B69.5,CGG_3_016651,LV7008956042,LV7008956042-LV7005368246-CGG3016651,157,-1.07,1500 BP to present,Late Holcene,64.14496,21.94245,2 m
