library_id	archive_sample_id	archive_sample_master_depth	field_sample_country_region	field_sample_age_estimate_oldest	field_sample_age_estimate_youngest	min_master_age	max_master_age	mean_master_age	median_master_age
LV7009022379	LV3006007225	0.5	Cambodia						
LV7009022379	LV3006007225	0.5	Cambodia						
LV7009022379	LV3006007225	0.5	Cambodia						
LV7009022379	LV3006007225	0.5	Cambodia						
	LV3006007225	0.5	Cambodia						
LV7009026590	LV3006007237	11.0	Cambodia						
LV7009026590	LV3006007237	11.0	Cambodia						
LV7009026590	LV3006007237	11.0	Cambodia						
LV7009026590	LV3006007237	11.0	Cambodia						
	LV3006007237	11.0	Cambodia						
LV7009022337	LV3006007224	12.5	Cambodia						
LV7009022337	LV3006007224	12.5	Cambodia						
LV7009022337	LV3006007224	12.5	Cambodia						
LV7009022337	LV3006007224	12.5	Cambodia						
	LV3006007224	12.5	Cambodia						
LV7009024586	LV3006007223	14.0	Cambodia						
LV7009024586	LV3006007223	14.0	Cambodia						
LV7009024586	LV3006007223	14.0	Cambodia						
LV7009024586	LV3006007223	14.0	Cambodia						
	LV3006007223	14.0	Cambodia						
LV7008957562	LV3006007236	15.5	Cambodia						
LV7008957562	LV3006007236	15.5	Cambodia						
LV7008957562	LV3006007236	15.5	Cambodia						
LV7008957562	LV3006007236	15.5	Cambodia						
	LV3006007236	15.5	Cambodia						
LV7009024089	LV3006007231	17.5	Cambodia						
LV7009024089	LV3006007231	17.5	Cambodia						
LV7009024089	LV3006007231	17.5	Cambodia						
LV7009024089	LV3006007231	17.5	Cambodia						
	LV3006007231	17.5	Cambodia						
LV7008957423	LV3006007241	19.0	Cambodia						
LV7008957423	LV3006007241	19.0	Cambodia						
LV7008957423	LV3006007241	19.0	Cambodia						
LV7008957423	LV3006007241	19.0	Cambodia						
	LV3006007241	19.0	Cambodia						
LV7008960323	LV3006007219	2.0	Cambodia						
LV7008960323	LV3006007219	2.0	Cambodia						
LV7008960323	LV3006007219	2.0	Cambodia						
LV7008960323	LV3006007219	2.0	Cambodia						
	LV3006007219	2.0	Cambodia						
LV7008955428	LV3006007239	21.0	Cambodia						
LV7008955428	LV3006007239	21.0	Cambodia						
LV7008955428	LV3006007239	21.0	Cambodia						
LV7008955428	LV3006007239	21.0	Cambodia						
	LV3006007239	21.0	Cambodia						
LV7008955270	LV3006007222	22.5	Cambodia						
LV7008955270	LV3006007222	22.5	Cambodia						
LV7008955270	LV3006007222	22.5	Cambodia						
LV7008955270	LV3006007222	22.5	Cambodia						
	LV3006007222	22.5	Cambodia						
LV7009024105	LV3006009966	24.0	Cambodia						
LV7009024105	LV3006009966	24.0	Cambodia						
LV7009024105	LV3006009966	24.0	Cambodia						
LV7009024105	LV3006009966	24.0	Cambodia						
	LV3006009966	24.0	Cambodia						
LV7008957394	LV3006007242	25.5	Cambodia						
LV7008957394	LV3006007242	25.5	Cambodia						
LV7008957394	LV3006007242	25.5	Cambodia						
LV7008957394	LV3006007242	25.5	Cambodia						
	LV3006007242	25.5	Cambodia						
LV7009022736	LV3006007233	27.0	Cambodia						
LV7009022736	LV3006007233	27.0	Cambodia						
LV7009022736	LV3006007233	27.0	Cambodia						
LV7009022736	LV3006007233	27.0	Cambodia						
	LV3006007233	27.0	Cambodia						
LV7008960326	LV3006009104	29.0	Cambodia						
LV7008960326	LV3006009104	29.0	Cambodia						
LV7008960326	LV3006009104	29.0	Cambodia						
LV7008960326	LV3006009104	29.0	Cambodia						
	LV3006009104	29.0	Cambodia						
LV7009022746	LV3006007220	3.5	Cambodia						
LV7009022746	LV3006007220	3.5	Cambodia						
LV7009022746	LV3006007220	3.5	Cambodia						
LV7009022746	LV3006007220	3.5	Cambodia						
	LV3006007220	3.5	Cambodia						
LV7008961180	LV3006006725	30.5	Cambodia						
LV7008961180	LV3006006725	30.5	Cambodia						
LV7008961180	LV3006006725	30.5	Cambodia						
LV7008961180	LV3006006725	30.5	Cambodia						
	LV3006006725	30.5	Cambodia						
LV7009024845	LV3006007227	32.0	Cambodia						
LV7009024845	LV3006007227	32.0	Cambodia						
LV7009024845	LV3006007227	32.0	Cambodia						
LV7009024845	LV3006007227	32.0	Cambodia						
	LV3006007227	32.0	Cambodia						
LV7009024391	LV3006007195	33.5	Cambodia						
LV7009024391	LV3006007195	33.5	Cambodia						
LV7009024391	LV3006007195	33.5	Cambodia						
LV7009024391	LV3006007195	33.5	Cambodia						
	LV3006007195	33.5	Cambodia						
LV7009024091	LV3006007201	35.0	Cambodia						
LV7009024091	LV3006007201	35.0	Cambodia						
LV7009024091	LV3006007201	35.0	Cambodia						
LV7009024091	LV3006007201	35.0	Cambodia						
	LV3006007201	35.0	Cambodia						
LV7009026563	LV3006007207	37.0	Cambodia						
LV7009026563	LV3006007207	37.0	Cambodia						
LV7009026563	LV3006007207	37.0	Cambodia						
LV7009026563	LV3006007207	37.0	Cambodia						
	LV3006007207	37.0	Cambodia						
LV7008957587	LV3006007213	38.5	Cambodia						
LV7008957587	LV3006007213	38.5	Cambodia						
LV7008957587	LV3006007213	38.5	Cambodia						
LV7008957587	LV3006007213	38.5	Cambodia						
	LV3006007213	38.5	Cambodia						
LV7008960910	LV3006007196	40.0	Cambodia						
LV7008960910	LV3006007196	40.0	Cambodia						
LV7008960910	LV3006007196	40.0	Cambodia						
LV7008960910	LV3006007196	40.0	Cambodia						
	LV3006007196	40.0	Cambodia						
LV7008954795	LV3006007202	42.0	Cambodia						
LV7008954795	LV3006007202	42.0	Cambodia						
LV7008954795	LV3006007202	42.0	Cambodia						
LV7008954795	LV3006007202	42.0	Cambodia						
	LV3006007202	42.0	Cambodia						
LV7009022713	LV3006007208	43.5	Cambodia						
LV7009022713	LV3006007208	43.5	Cambodia						
LV7009022713	LV3006007208	43.5	Cambodia						
LV7009022713	LV3006007208	43.5	Cambodia						
	LV3006007208	43.5	Cambodia						
LV7008957239	LV3006007214	45.0	Cambodia						
LV7008957239	LV3006007214	45.0	Cambodia						
LV7008957239	LV3006007214	45.0	Cambodia						
LV7008957239	LV3006007214	45.0	Cambodia						
	LV3006007214	45.0	Cambodia						
LV7009022354	LV3006007197	47.0	Cambodia						
LV7009022354	LV3006007197	47.0	Cambodia						
LV7009022354	LV3006007197	47.0	Cambodia						
LV7009022354	LV3006007197	47.0	Cambodia						
	LV3006007197	47.0	Cambodia						
LV7008957553	LV3006007203	48.5	Cambodia						
LV7008957553	LV3006007203	48.5	Cambodia						
LV7008957553	LV3006007203	48.5	Cambodia						
LV7008957553	LV3006007203	48.5	Cambodia						
	LV3006007203	48.5	Cambodia						
LV7008957561	LV3006007229	5.0	Cambodia						
LV7008957561	LV3006007229	5.0	Cambodia						
LV7008957561	LV3006007229	5.0	Cambodia						
LV7008957561	LV3006007229	5.0	Cambodia						
	LV3006007229	5.0	Cambodia						
LV7009022696	LV3006007209	50.0	Cambodia						
LV7009022696	LV3006007209	50.0	Cambodia						
