depth	min	max	median	mean
0	-65	-36	-51	-50
0.1	-63	-35	-49	-49
0.2	-62	-32	-47	-47
0.3	-61	-29	-46	-46
0.4	-60	-25	-45	-44
0.5	-60	-21	-43	-42
0.6	-59	-16	-42	-41
0.7	-58	-11	-41	-39
0.8	-58	-5	-40	-38
0.9	-57	0	-38	-36
1	-57	6	-37	-34
1.1	-56	11	-36	-33
1.2	-56	17	-35	-31
1.3	-55	22	-34	-30
1.4	-55	28	-32	-28
1.5	-55	34	-31	-26
1.6	-54	40	-30	-25
1.7	-54	45	-28	-23
1.8	-54	51	-27	-22
1.9	-53	57	-26	-20
2	-53	62	-25	-18
2.1	-53	68	-24	-17
2.2	-52	74	-22	-15
2.3	-52	80	-21	-13
2.4	-52	85	-20	-12
2.5	-52	91	-19	-10
2.6	-51	97	-17	-9
2.7	-51	102	-16	-7
2.8	-51	107	-15	-5
2.9	-51	113	-14	-4
3	-50	118	-12	-2
3.1	-50	124	-11	-1
3.2	-50	129	-10	1
3.3	-50	135	-9	3
3.4	-50	140	-7	4
3.5	-50	146	-6	6
3.6	-49	152	-5	7
3.7	-49	158	-4	9
3.8	-49	163	-2	11
3.9	-49	169	-1	12
4	-49	174	0	14
4.1	-49	180	1	15
4.2	-48	186	3	17
4.3	-48	191	4	19
4.4	-48	197	5	20
4.5	-48	203	6	22
4.6	-48	208	8	24
4.7	-48	214	9	25
4.8	-48	219	10	27
4.9	-47	225	12	28
5	-47	231	13	30
5.1	-45	232	14	31
5.2	-44	233	15	33
5.3	-43	234	17	34
5.4	-41	236	18	36
5.5	-40	238	20	37
5.6	-39	239	22	39
5.7	-38	240	23	40
5.8	-37	240	25	42
5.9	-36	241	27	43
6	-35	242	28	45
6.1	-34	243	30	46
6.2	-33	243	32	48
6.3	-33	243	33	49
6.4	-32	244	35	51
6.5	-31	245	37	52
6.6	-30	245	38	54
6.7	-29	246	40	55
6.8	-29	246	41	57
6.9	-28	247	43	58
7	-27	247	44	60
7.1	-27	248	46	61
7.2	-26	248	48	63
7.3	-25	249	50	64
7.4	-25	249	51	66
7.5	-25	250	53	67
7.6	-24	250	55	69
7.7	-23	251	57	70
7.8	-23	252	59	72
7.9	-22	253	61	73
8	-22	253	62	75
